addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1111,종로구,서울특별시,창덕궁,1,29071,55675
1111,종로구,서울특별시,경복궁,2,71979,164611
1111,종로구,서울특별시,창경궁,3,3119,25287
1111,종로구,서울특별시,종묘,4,3077,16090
1117,용산구,서울특별시,국립중앙박물관,5,7349,242135
1114,중구,서울특별시,덕수궁,6,26843,72244
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,22,2583
1141,서대문구,서울특별시,서대문형무소역사관,8,4024,31550
1141,서대문구,서울특별시,서대문자연사박물관,9,0,25143
1144,마포구,서울특별시,트릭아이미술관,10,18161,5415
1165,서초구,서울특별시,헌릉ㆍ인릉,11,4,1105
1168,강남구,서울특별시,선릉·정릉,12,34,11540
1111,종로구,서울특별시,창덕궁,1,19787,40648
1111,종로구,서울특별시,경복궁,2,40684,124211
1111,종로구,서울특별시,창경궁,3,2108,18188
1111,종로구,서울특별시,종묘,4,2450,12633
1117,용산구,서울특별시,국립중앙박물관,5,6146,279500
1114,중구,서울특별시,덕수궁,6,20157,64456
1123,동대문구,서울특별시,세종대왕기념관,7,0,0
1123,동대문구,서울특별시,서울약령시 한의약박물관,8,128,1096
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,9,8,1023
1144,마포구,서울특별시,트릭아이미술관,10,13160,5556
1165,서초구,서울특별시,헌릉ㆍ인릉,11,6,1182
1168,강남구,서울특별시,선릉·정릉,12,519,8040
1171,송파구,서울특별시,롯데월드,13,0,0
1171,송파구,서울특별시,서울스카이,14,0,0
1171,송파구,서울특별시,아쿠아리움,15,0,0
1111,종로구,서울특별시,창덕궁,1,30122,68181
1111,종로구,서울특별시,경복궁,2,80773,197756
1111,종로구,서울특별시,창경궁,3,4782,45001
1111,종로구,서울특별시,종묘,4,3325,17955
1117,용산구,서울특별시,국립중앙박물관,5,7106,250174
1114,중구,서울특별시,덕수궁,6,29192,71009
1123,동대문구,서울특별시,세종대왕기념관,7,0,0
1123,동대문구,서울특별시,서울약령시 한의약박물관,8,1239,61
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,9,6,2141
1144,마포구,서울특별시,트릭아이미술관,10,14040,4851
1165,서초구,서울특별시,헌릉ㆍ인릉,11,1,1459
1168,강남구,서울특별시,선릉·정릉,12,666,11037
1171,송파구,서울특별시,롯데월드,13,0,0
