addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
2711,중구,대구광역시,향촌문화관,2,1218,8841
2714,동구,대구광역시,대구시니어체험관,3,0,290
2714,동구,대구광역시,팔공산 케이블카,4,0,21006
2723,북구,대구광역시,대구사격장,5,372,16079
2726,수성구,대구광역시,대구미술관,6,0,14432
2729,달서구,대구광역시,이월드,7,981,100565
2729,달서구,대구광역시,온천 엘리바덴,8,1245,62013
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,3314,10467
2771,달성군,대구광역시,스파밸리,10,355,69493
2771,달성군,대구광역시,국립대구과학관,11,190,43010
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,97,4540
2711,중구,대구광역시,구암서원,1,45,1406
2711,중구,대구광역시,향촌문화관,2,997,11111
2714,동구,대구광역시,대구시니어체험관,3,0,396
2714,동구,대구광역시,팔공산 케이블카,4,0,24170
2723,북구,대구광역시,대구사격장,5,155,18766
2726,수성구,대구광역시,대구미술관,6,0,14751
2729,달서구,대구광역시,이월드,7,1728,145437
2729,달서구,대구광역시,온천 엘리바덴,8,1135,72961
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,3582,13892
2771,달성군,대구광역시,스파밸리,10,353,89095
2771,달성군,대구광역시,국립대구과학관,11,332,64352
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,24,4495
2711,중구,대구광역시,구암서원,1,15,1551
2711,중구,대구광역시,향촌문화관,2,67,8930
2714,동구,대구광역시,대구시니어체험관,3,23,210
2714,동구,대구광역시,팔공산 케이블카,4,0,24117
2723,북구,대구광역시,대구사격장,5,647,15222
2726,수성구,대구광역시,대구미술관,6,0,15070
2729,달서구,대구광역시,이월드,7,1128,110592
2729,달서구,대구광역시,온천 엘리바덴,8,1547,46924
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,3606,18942
2771,달성군,대구광역시,스파밸리,10,25,19468
2771,달성군,대구광역시,국립대구과학관,11,319,43257
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,102,5527
2711,중구,대구광역시,구암서원,1,20,1757
2711,중구,대구광역시,향촌문화관,2,51,8938
2714,동구,대구광역시,대구시니어체험관,3,0,450
2714,동구,대구광역시,팔공산 케이블카,4,0,47316
2723,북구,대구광역시,대구사격장,5,146,17673
2726,수성구,대구광역시,대구미술관,6,0,6618
2729,달서구,대구광역시,이월드,7,2766,165386
2729,달서구,대구광역시,온천 엘리바덴,8,1514,47152
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,3189,24172
2771,달성군,대구광역시,스파밸리,10,0,45549
2771,달성군,대구광역시,국립대구과학관,11,0,0
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,0
2711,중구,대구광역시,구암서원,1,75,1178
2711,중구,대구광역시,향촌문화관,2,19,6133
2714,동구,대구광역시,대구시니어체험관,3,0,434
2714,동구,대구광역시,팔공산 케이블카,4,0,49238
2723,북구,대구광역시,대구사격장,5,190,11834
2726,수성구,대구광역시,대구미술관,6,0,12728
2729,달서구,대구광역시,이월드,7,1441,156081
2729,달서구,대구광역시,온천 엘리바덴,8,1089,46983
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,2038,12525
2771,달성군,대구광역시,스파밸리,10,0,19378
2771,달성군,대구광역시,국립대구과학관,11,0,0
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,0
2711,중구,대구광역시,구암서원,1,10,976
2711,중구,대구광역시,향촌문화관,2,29,5836
2714,동구,대구광역시,대구시니어체험관,3,100,211
2714,동구,대구광역시,팔공산 케이블카,4,0,18157
2723,북구,대구광역시,대구사격장,5,106,12084
2726,수성구,대구광역시,대구미술관,6,0,15994
2729,달서구,대구광역시,이월드,7,1649,177833
2729,달서구,대구광역시,온천 엘리바덴,8,770,65210
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,1870,16204
2771,달성군,대구광역시,스파밸리,10,21,32468
2771,달성군,대구광역시,국립대구과학관,11,0,0
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,0
2711,중구,대구광역시,구암서원,1,6,793
2711,중구,대구광역시,향촌문화관,2,22,6478
2714,동구,대구광역시,대구시니어체험관,3,0,240
2714,동구,대구광역시,팔공산 케이블카,4,0,8108
2723,북구,대구광역시,대구사격장,5,99,11909
2726,수성구,대구광역시,대구미술관,6,0,17392
2729,달서구,대구광역시,이월드,7,3428,135615
2729,달서구,대구광역시,온천 엘리바덴,8,0,72996
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,748,55737
2771,달성군,대구광역시,스파밸리,10,147,45357
2771,달성군,대구광역시,국립대구과학관,11,0,0
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,0
2711,중구,대구광역시,구암서원,1,6,964
2711,중구,대구광역시,향촌문화관,2,34,10120
2714,동구,대구광역시,대구시니어체험관,3,0,190
2714,동구,대구광역시,팔공산 케이블카,4,0,17659
2723,북구,대구광역시,대구사격장,5,87,12125
2726,수성구,대구광역시,대구미술관,6,0,10802
2729,달서구,대구광역시,이월드,7,1433,144069
2729,달서구,대구광역시,온천 엘리바덴,8,0,57789
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,1542,33345
